"prop"	"symbol"	"redirected"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_mammal"	"http://dbpedia.org/resource/American_black_bear"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_motto"	"http://dbpedia.org/resource/Seal_of_New_Mexico"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_neckwear"	"http://dbpedia.org/resource/Bolo_tie"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_nickname"	"http://dbpedia.org/resource/New_Mexico"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_poem"	"http://dbpedia.org/resource/A_Nuevo_México"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_question"	"http://dbpedia.org/resource/New_Mexico_chile"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_reptile"	"http://dbpedia.org/resource/New_Mexico_whiptail"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_seal"	"http://dbpedia.org/resource/Seal_of_New_Mexico"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_song_(English)"	"http://dbpedia.org/resource/O_Fair_New_Mexico"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_song_(Spanish)"	"http://dbpedia.org/resource/Así_Es_Nuevo_México"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/New_Mexico_state_tree"	"http://dbpedia.org/resource/Pinus_edulis"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Oncorhynchus_clarki_virginalis"	"http://dbpedia.org/resource/Rio_Grande_cutthroat_trout"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Great_Seal_of_the_State_of_New_Mexico"	"http://dbpedia.org/resource/Seal_of_New_Mexico"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Two-needle_piñon"	"http://dbpedia.org/resource/Pinus_edulis"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Spea_multiplicata"	"http://dbpedia.org/resource/New_Mexico_spadefoot_toad"
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Sandia_hairstreak"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/A_Nuevo_México"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Coelophysis"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Seal_of_New_Mexico"	
"http://dbpedia.org/resource/Category:Symbols_of_New_Mexico"	"http://dbpedia.org/resource/Así_Es_Nuevo_México"	
